id,title,description,list_id,due_date,reminder_date,recurring_frequency,is_completed,completed_at,is_in_my_day,notes,created_at,updated_at
1,Looking into failing signature not in rerun,,2,,,,false,,false,https://nvbugspro.nvidia.com/bug/5306597,2025-09-15T14:32:26.201783-05:00,2025-09-15T15:52:37.964585-05:00
2,Create Apserion rule to check that INI Overrides are not performed outside of shared space,,2,,,,false,,false,Should all overrides be in a common area? How will we check this? We will have to designate fstb_base_test.sv,2025-09-15T14:33:40.787167-05:00,2025-09-15T14:34:41.717249-05:00
3,Have rerun run_verdi symlinks created in before script,,2,,,,false,,false,,2025-09-15T14:35:45.860033-05:00,2025-09-15T14:35:45.860033-05:00
4,Update DejaVu to continue to rerun other jobs when one fails,,2,,,,false,,false,,2025-09-15T14:36:19.910474-05:00,2025-09-15T14:36:19.910474-05:00
5,Look into how to handle different owners for different variants,,2,,,,false,,false,,2025-09-15T14:36:33.996561-05:00,2025-09-15T14:36:33.996561-05:00
6,Update FW tests not marked as long in nvgpu_fstb and nvgpu_tb500s_fstb,,3,2025-09-19T23:59:59-05:00,,,false,,false,,2025-09-15T14:37:20.559518-05:00,2025-09-15T15:32:30.360617-05:00
7,Talk to Akshay about creating the dump cones he needs,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-15T16:20:34.018213-05:00,false,,2025-09-15T14:38:06.836130-05:00,2025-09-15T16:20:34.018213-05:00
8,Create Akshay's extra regressions,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-16T10:46:05.721406-05:00,true,,2025-09-15T14:38:28.509811-05:00,2025-09-16T10:46:05.721406-05:00
9,Debug reruns not reproducing,,3,,,,false,,true,,2025-09-15T14:44:48.312916-05:00,2025-09-16T10:45:55.149814-05:00
10,Biggest Offenders Email,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T14:45:35.460769-05:00,2025-09-15T14:45:56.900790-05:00
11,Run TB500s XPROP Intensive,,3,2025-09-19T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:16:01.282215-05:00,2025-09-15T15:16:28.535154-05:00
12,Check PIB Full-Chip Sanity,,3,2025-09-16T23:59:59-05:00,,Weekdays,true,2025-09-16T10:25:25.767723-05:00,false,,2025-09-15T15:16:32.406735-05:00,2025-09-16T10:25:25.767723-05:00
13,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-15T23:59:59-05:00,,Weekly,true,2025-09-16T09:44:10.717759-05:00,false,,2025-09-15T15:17:14.199001-05:00,2025-09-16T09:44:10.717764-05:00
14,Check Jenkins Jobs,,3,2025-09-15T23:59:59-05:00,,Daily,true,2025-09-16T09:44:16.445452-05:00,false,,2025-09-15T15:17:41.572994-05:00,2025-09-16T09:44:16.445456-05:00
15,Disk Size Check,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:18:43.244051-05:00,2025-09-15T15:27:28.471743-05:00
16,Bug follow-up,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:19:02.903750-05:00,2025-09-15T15:32:39.185063-05:00
17,Triage,,3,2025-09-15T23:59:59-05:00,,Daily,true,2025-09-16T09:44:01.839811-05:00,false,,2025-09-15T15:19:29.962979-05:00,2025-09-16T09:44:01.839816-05:00
18,Close assigned bugs,,3,2025-09-19T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:19:48.985085-05:00,2025-09-15T15:32:42.631288-05:00
19,GR102s Serial Signature,,4,,,,false,,false,,2025-09-15T15:34:05.973823-05:00,2025-09-15T15:34:05.973823-05:00
20,Consider DVP updates,,4,,,,false,,false,,2025-09-15T15:34:18.470145-05:00,2025-09-15T15:34:18.470145-05:00
21,Make Confluence page for sim modes,,4,,,,false,,false,,2025-09-15T15:34:29.581454-05:00,2025-09-15T15:34:29.581454-05:00
22,Identify time diff between fastriscv and fw_uvc,,4,,,,false,,false,,2025-09-15T15:34:47.510909-05:00,2025-09-15T15:34:47.510909-05:00
23,Find out if Feynman will use 2PLL or 1PLL,,6,,,,false,,false,,2025-09-15T15:35:42.979948-05:00,2025-09-16T10:54:55.326722-05:00
24,Follow up with XPL/XTL on required FSTB afiles,,7,,,,false,,false,,2025-09-15T15:36:08.646228-05:00,2025-09-15T15:36:08.646228-05:00
25,Make //dev updates from meeting,,8,,,,false,,true,,2025-09-15T15:36:35.586769-05:00,2025-09-16T11:49:23.899128-05:00
26,Update tool pointer to use /home/nv/utils FW Scripts,,8,,,,false,,true,,2025-09-15T15:37:04.461066-05:00,2025-09-16T09:51:49.058721-05:00
27,Add BAN datacenter to all branches,,8,,,,false,,true,,2025-09-15T15:37:30.590617-05:00,2025-09-16T09:51:51.309044-05:00
28,Send Status Report,,1,2025-09-15T23:59:59-05:00,,Weekly,true,2025-09-16T11:23:26.634071-05:00,true,,2025-09-15T15:40:32.981959-05:00,2025-09-16T11:23:26.634071-05:00
29,Rerun apcit_compliance_enter_compliance with extra resources,,2,2025-09-15T23:59:59-05:00,,,true,2025-09-15T15:52:40.585832-05:00,false,,2025-09-15T15:51:39.868681-05:00,2025-09-15T15:52:40.585911-05:00
30,Run new multlink regressions and send link to Akshay,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-15T17:05:31.988359-05:00,false,,2025-09-15T16:20:05.208573-05:00,2025-09-15T17:05:31.988359-05:00
31,Email,,1,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T09:59:03.384398-05:00,false,,2025-09-16T09:30:30.329770-05:00,2025-09-16T09:59:03.384398-05:00
32,Lunchdrop,,1,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T09:30:55.873745-05:00,false,,2025-09-16T09:30:44.580064-05:00,2025-09-16T09:30:55.873749-05:00
33,Triage,,3,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T10:24:55.719228-05:00,false,,2025-09-16T09:44:01.839817-05:00,2025-09-16T10:24:55.719228-05:00
34,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-22T23:59:59-05:00,,Weekly,true,2025-09-16T11:51:44.544025-05:00,false,,2025-09-16T09:44:10.717765-05:00,2025-09-16T11:51:44.544026-05:00
35,Check Jenkins Jobs,,3,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T10:27:17.686657-05:00,false,,2025-09-16T09:44:16.445458-05:00,2025-09-16T10:27:17.686657-05:00
131,Investigate Near-End Loopback,,4,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T09:44:37.296979-05:00,2025-09-16T09:44:48.986724-05:00
132,Prepare for 1:1,,1,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T09:54:30.010346-05:00,2025-09-16T09:54:38.787174-05:00
36,Email,,1,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T09:59:03.384400-05:00,2025-09-16T09:59:03.384400-05:00
37,Investigate finished dumps of Avery Test,,2,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T10:21:58.875909-05:00,2025-09-16T10:22:12.182890-05:00
38,Triage,,3,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:22:27.698597-05:00,2025-09-16T10:22:27.698598-05:00
40,Check PIB Full-Chip Sanity,,3,2025-09-17T23:59:59-05:00,,Weekdays,false,,false,,2025-09-16T10:25:25.767725-05:00,2025-09-16T10:25:25.767727-05:00
41,Check Jenkins Jobs,,3,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:27:17.686659-05:00,2025-09-16T10:27:17.686660-05:00
42,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:46:58.558567-05:00,false,,2025-09-16T10:45:30.727982-05:00,2025-09-16T10:46:58.558637-05:00
43,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:47:06.597191-05:00,false,,2025-09-16T10:45:46.644097-05:00,2025-09-16T10:47:06.597265-05:00
44,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:28.609510-05:00,false,,2025-09-16T10:45:50.141317-05:00,2025-09-16T10:50:28.609552-05:00
45,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:29.360536-05:00,false,,2025-09-16T10:45:59.978102-05:00,2025-09-16T10:50:29.360539-05:00
46,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:29.973553-05:00,false,,2025-09-16T10:46:22.163087-05:00,2025-09-16T10:50:29.973580-05:00
47,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:33.322593-05:00,false,,2025-09-16T10:46:31.320387-05:00,2025-09-16T10:50:33.322677-05:00
48,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:33.756210-05:00,false,,2025-09-16T10:46:39.328327-05:00,2025-09-16T10:50:33.756213-05:00
49,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:31.012245-05:00,false,,2025-09-16T10:46:58.558639-05:00,2025-09-16T10:50:31.012305-05:00
50,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:31.295040-05:00,false,,2025-09-16T10:47:06.597268-05:00,2025-09-16T10:50:31.295043-05:00
